"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
374039	5.30e-10	9.97e-13	-9.670274	18.852594	-2.1354719		
202010	5.48e-10	1.05e-12	-9.653028	18.79751	-2.3400742	POLR2E	RNA
189004	5.61e-10	1.09e-12	9.453087	18.736612	1.713415	LOC105369155///LRRC29	uncharacterized
59072	6.10e-10	1.20e-12	9.214499	18.604994	1.4315869	NCOA1	nuclear
458074	7.46e-10	1.52e-12	-10.858088	18.576629	-1.8760636		
236052	6.66e-10	1.32e-12	-9.236025	18.517124	-2.8569623	TAX1BP3	Tax1
75006	7.39e-10	1.49e-12	-9.363	18.431215	-1.1360288	MRPL30	mitochondrial
19031	7.47e-10	1.53e-12	9.146336	18.362908	1.7518596	HLA-E	major
21033	7.74e-10	1.61e-12	9.133613	18.317669	1.647572	NOMO3///NOMO2///NOMO1	NODAL
447053	8.33e-10	1.78e-12	-13.285565	18.300668	-2.1319226		
173060	8.67e-10	1.89e-12	-9.941453	18.292215	-1.4494583		
114076	7.95e-10	1.67e-12	9.12331	18.281027	2.2635168	TALDO1///TALDO1	transaldolase
224084	8.67e-10	1.92e-12	-9.935845	18.276139	-1.4734997		
291047	8.67e-10	1.90e-12	-9.848842	18.272129	-1.4879199		
214074	8.67e-10	1.95e-12	-9.930056	18.259542	-1.6386441		
16014	8.28e-10	1.75e-12	9.109403	18.231548	1.3885877	BCLAF1	BCL2
18112	9.26e-10	2.10e-12	-10.207763	18.220081	-3.3827768	HIST1H4D	histone
241095	8.67e-10	1.94e-12	-9.178841	18.15122	-1.4634871		
404080	9.36e-10	2.14e-12	9.053896	18.033885	1.4811008	SMARCA5	SWI/SNF
205009	9.38e-10	2.17e-12	9.050682	18.022433	1.6270206	PHIP	pleckstrin
273110	1.01e-09	2.39e-12	9.46904	18.007798	1.4720101	CD300C	CD300c
319057	1.04e-09	2.48e-12	-9.527354	17.981136	-1.9617506		
140078	9.93e-10	2.32e-12	9.03246	17.957474	2.1094056	MS4A6A	membrane
189082	1.04e-09	2.50e-12	9.107277	17.911761	2.0092623	FTSJ3	FtsJ
457087	1.06e-09	2.57e-12	9.049884	17.868593	1.8233272	TRIP12	thyroid
22064	1.10e-09	2.67e-12	8.99298	17.816632	1.5601223	CSNK2B///CSNK2B	casein
177052	1.12e-09	2.78e-12	8.982337	17.77864	2.0191533	RPL26	ribosomal
356027	1.12e-09	2.78e-12	-8.981987	17.777389	-1.5573157		
258022	1.17e-09	2.92e-12	9.062645	17.757039	2.8053888	PDPN	podoplanin
243093	1.23e-09	3.12e-12	-9.386908	17.74481	-1.2339172		
445004	1.23e-09	3.14e-12	8.948989	17.659527	1.3284716	PPP2CA	protein
56055	1.33e-09	3.41e-12	9.121293	17.624363	1.599649	THG1L	tRNA-histidine
459041	1.58e-09	4.14e-12	-9.674235	17.521591	-1.5719188	SUMF2	sulfatase
20105	1.47e-09	3.82e-12	8.987397	17.490979	2.2279057	KCP	kielin/chordin-like
90078	1.63e-09	4.31e-12	-9.423392	17.447302	-2.0451878	ZDHHC12	zinc
363043	1.63e-09	4.34e-12	-8.904517	17.349788	-1.0088779		
118051	1.83e-09	5.07e-12	-9.788234	17.348023	-2.6932396		
157051	1.80e-09	4.91e-12	-9.125232	17.276382	-1.8209135		
34013	1.76e-09	4.72e-12	8.836659	17.257587	2.2943945	NPM1///NPM1	nucleophosmin///nucleophosmin
488002	1.76e-09	4.74e-12	8.835358	17.252923	2.5132132		
321026	1.87e-09	5.22e-12	-9.107208	17.216842	-2.0917261		
369048	1.83e-09	5.04e-12	-8.818847	17.193747	-1.0416121		
260046	1.99e-09	5.63e-12	9.205062	17.169612	1.494702	ELAVL1	ELAV
202040	1.99e-09	5.60e-12	8.78964	17.089013	2.3669191	DNAJA1	DnaJ
30058	2.12e-09	6.05e-12	8.955677	17.062039	1.7380159	BMS1	BMS1,
419043	2.50e-09	7.51e-12	-10.502816	17.042347	-1.4325177	PDK3	pyruvate
291069	2.49e-09	7.42e-12	-9.751346	16.984455	-1.548422	REPS1	RALBP1
407071	2.36e-09	6.87e-12	-9.143794	16.967918	-1.9873105		
196045	2.36e-09	6.87e-12	8.777088	16.905423	1.9403398	TRIM8	tripartite
177011	2.36e-09	6.85e-12	8.734498	16.891082	1.4884017	MDH2	malate
227059	2.54e-09	7.74e-12	-9.171045	16.862743	-1.6797897	NR1D2	nuclear
15087	2.44e-09	7.16e-12	8.722534	16.848105	2.7765873	C4B///C4A	complement
351065	2.84e-09	8.85e-12	-9.790959	16.826371	-1.5964114	DHRS4-AS1	DHRS4
67069	2.49e-09	7.40e-12	8.756499	16.825263	1.9137933	LUC7L3	LUC7
184023	2.50e-09	7.56e-12	8.707669	16.794692	2.6957421	ZFP36L2	ZFP36
504032	2.75e-09	8.43e-12	8.677758	16.687156	1.6363645		
408019	2.77e-09	8.55e-12	8.673972	16.673538	1.9002264	ENG///CLIP2	endoglin///CAP-Gly
94026	2.99e-09	9.38e-12	-8.648807	16.583003	-1.0476318	CD79A	CD79a
369015	3.10e-09	9.79e-12	8.72287	16.566352	1.7849126	KIRREL	kin
380031	3.79e-09	1.31e-11	-10.597139	16.520394	-2.0901484	NBR1	NBR1,
100085	3.45e-09	1.12e-11	-9.120062	16.506716	-1.2296272	HARBI1	harbinger
443092	3.21e-09	1.02e-11	-8.625977	16.500825	-1.3673666		
21005	3.29e-09	1.05e-11	8.617152	16.46905	2.3590961	LGALS1	galectin
156026	3.42e-09	1.10e-11	8.605132	16.425758	2.5224816	KLF10///KLF10	Kruppel
3084	3.45e-09	1.12e-11	8.60101	16.410909	2.4642953		
492111	3.51e-09	1.15e-11	8.633923	16.397291	2.8291547	COL6A3///NAA60	collagen
79042	3.78e-09	1.27e-11	8.844699	16.356105	1.8961258	GPN1	GPN-loop
440086	4.01e-09	1.40e-11	-9.432972	16.350829	-1.5464221	TAF8	TATA-box
319055	3.71e-09	1.23e-11	8.575753	16.319898	1.3749414	CDV3	CDV3
269092	3.79e-09	1.31e-11	8.733124	16.310005	3.4759273	FCGR3B///FCGR3A///FCGR3B	Fc
30100	3.78e-09	1.26e-11	8.568548	16.293924	1.890551	RBPJ	recombination
451061	3.79e-09	1.30e-11	-8.688718	16.290694	-1.3238879	TMEM160	transmembrane
439070	3.79e-09	1.30e-11	-8.601012	16.27224	-1.5910907	SLC1A7	solute
241015	3.79e-09	1.29e-11	8.562188	16.270994	1.7533995	AK6	adenylate
196101	3.80e-09	1.32e-11	8.555353	16.246351	1.7969319	IARS2	isoleucyl-tRNA
355045	4.33e-09	1.55e-11	-8.955526	16.178924	-2.6402314	NME3	NME/NM23
279038	4.22e-09	1.51e-11	-8.693443	16.155087	-1.6046894		
311073	4.11e-09	1.45e-11	-8.530019	16.154974	-1.0116106	UGCG	UDP-glucose
99062	4.14e-09	1.47e-11	8.526698	16.142991	1.8873154	LAMB1	laminin
174072	4.69e-09	1.72e-11	8.754293	16.044022	1.2107577	NCBP3	nuclear
186073	4.60e-09	1.66e-11	-8.575288	16.039842	-1.389314	DNAJC16	DnaJ
124030	4.77e-09	1.78e-11	-8.853463	16.03122	-1.170214	RNF219	ring
272072	4.87e-09	1.84e-11	-8.902738	16.010619	-1.5482827	TNRC6B	trinucleotide
114015	4.68e-09	1.70e-11	8.486686	15.998566	1.4004993	SEPT9	septin
187091	4.69e-09	1.71e-11	8.484203	15.989602	1.3636427	NRDC	nardilysin
317044	5.08e-09	1.93e-11	-8.95018	15.975099	-1.8220157		
344080	4.77e-09	1.78e-11	8.513566	15.968805	1.9644189	PTPN6	protein
460039	4.77e-09	1.77e-11	8.475861	15.959475	2.3026448	RACK1	receptor
117074	4.81e-09	1.81e-11	8.469527	15.936595	1.7793445	MLKL	mixed
199078	5.68e-09	2.19e-11	-9.045867	15.878326	-1.0264975	OR7A5	olfactory
421023	5.36e-09	2.05e-11	-8.652946	15.862205	-2.4644075	TMEM238	transmembrane
473026	5.78e-09	2.25e-11	-8.783335	15.803563	-2.033756	TBC1D8B	TBC1
434102	5.78e-09	2.26e-11	-8.674221	15.776132	-2.1741503		
445091	5.75e-09	2.22e-11	-8.452805	15.743294	-1.5224793		
57035	5.85e-09	2.31e-11	8.570796	15.733365	1.3501329	ANXA11	annexin
309049	5.84e-09	2.29e-11	8.404894	15.702975	1.6934942	EIF3F	eukaryotic
177021	5.86e-09	2.33e-11	-8.40066	15.687663	-1.447321		
319049	5.86e-09	2.34e-11	8.399176	15.682292	1.9638518	C19orf53	chromosome
69024	6.30e-09	2.53e-11	8.37832	15.606838	1.9034215		
393108	6.50e-09	2.63e-11	-8.490029	15.598548	-1.6202525	RERE	arginine-glutamic
82050	6.59e-09	2.69e-11	8.361321	15.545316	1.6636761	CCDC71L	coiled-coil
117110	6.59e-09	2.70e-11	8.360274	15.541525	1.3046354	RSRP1	arginine
276072	7.08e-09	2.97e-11	-8.699371	15.530303	-1.6704581		
122003	6.95e-09	2.87e-11	-8.344289	15.483651	-1.0257718		
10034	7.03e-09	2.93e-11	8.338426	15.462422	1.3056041	TARS	threonyl-tRNA
144091	7.03e-09	2.93e-11	8.338421	15.462403	2.4299038	CALM1	calmodulin
410093	7.62e-09	3.23e-11	-8.521597	15.415535	-1.7188434		
315069	7.94e-09	3.40e-11	-8.65891	15.398357	-1.849807		
483060	7.45e-09	3.14e-11	8.31986	15.395177	1.925396	FRG1///FRG1CP///FRG1BP///MLLT10P1	FSHD
313104	7.66e-09	3.26e-11	8.309435	15.357408	2.0800025	SLC15A3	solute
254071	9.22e-09	4.05e-11	-12.513377	15.277644	-1.7051005		
353073	8.56e-09	3.69e-11	8.353395	15.255622	1.7137965	PHF10	PHD
145105	8.56e-09	3.70e-11	8.275161	15.233186	2.4392527	COL1A2	collagen
487062	8.77e-09	3.81e-11	8.385458	15.232937	1.4071362	RHOQ	ras
173067	6.59e-09	2.68e-11	-13.8798	15.216443	-3.0313118		
272045	9.48e-09	4.20e-11	-8.595111	15.189961	-0.8547155		
86087	1.01e-08	4.63e-11	-9.023603	15.181023	-2.2858761		
452096	9.22e-09	4.02e-11	8.252379	15.150574	2.2486969	ETS2	ETS
28039	9.22e-09	4.06e-11	8.249784	15.141164	2.1647458	IVNS1ABP	influenza
409044	1.00e-08	4.53e-11	-8.627232	15.127202	-1.363811		
374108	9.79e-09	4.40e-11	8.387611	15.124636	1.9063723		
464068	1.05e-08	4.84e-11	-8.858167	15.110582	-1.4174958	CORO2A	coronin
40084	1.07e-08	5.01e-11	-8.91957	15.090268	-1.9689313		
437092	1.12e-08	5.38e-11	-9.3363	15.088892	-1.1410429	MFSD10	major
492030	9.76e-09	4.34e-11	8.268982	15.084968	2.1937043	SERPING1	serpin
384071	9.79e-09	4.40e-11	8.228535	15.064078	1.9744503	CLTA	clathrin
224056	1.06e-08	4.90e-11	-8.602984	15.049057	-1.9452785	CDK13	cyclin
38105	1.01e-08	4.60e-11	8.253155	15.02818	1.693698	PLAT	plasminogen
116019	1.07e-08	4.97e-11	8.397466	15.00788	1.7707511	PNISR	PNN
319039	1.02e-08	4.69e-11	8.210783	14.999657	1.6848267	IPO5	importin
247019	1.07e-08	4.97e-11	8.352773	14.997313	1.624462	LIPT1	lipoyltransferase
183045	1.13e-08	5.45e-11	-8.465584	14.922247	-1.4640288		
81071	1.08e-08	5.09e-11	8.18888	14.920148	1.168405	SENP6	SUMO1/sentrin
206105	1.08e-08	5.11e-11	8.187751	14.916049	1.4614005	BAZ2A///BAZ2A	bromodomain
134089	1.08e-08	5.15e-11	8.185411	14.907554	2.0396573	UTP14A///ALG11///UTP14C	UTP14A
405018	1.12e-08	5.42e-11	8.286639	14.895785	1.6897494	SNORD116@///SNRPN///IPW	small
83016	1.26e-08	6.47e-11	-9.168717	14.894185	-1.5888724		
406006	1.20e-08	6.04e-11	-8.785888	14.893021	-1.7528544		
202110	1.11e-08	5.29e-11	8.178542	14.882611	3.0131642	TPM2///SETDB1	tropomyosin
362085	1.22e-08	6.22e-11	-8.847537	14.877578	-2.5147111		
11010	1.19e-08	5.79e-11	8.447508	14.876428	1.4955116	GPBP1	GC-rich
236098	1.13e-08	5.48e-11	-8.243319	14.86521	-1.5169443		
400077	1.20e-08	5.95e-11	-8.490643	14.847829	-1.0347609		
407032	1.20e-08	5.96e-11	8.345235	14.837045	2.412185	GNB4	G
287081	1.19e-08	5.88e-11	-8.223767	14.795771	-2.446958		
109084	1.19e-08	5.85e-11	8.187532	14.792536	0.9896068	SPHK2	sphingosine
238095	1.21e-08	6.11e-11	-8.337928	14.788346	-1.4280357	KDM2A	lysine
326065	1.20e-08	6.00e-11	-8.258017	14.786208	-1.4509676		
82001	1.22e-08	6.19e-11	8.135679	14.726903	1.3362438	KANSL2	KAT8
151085	1.30e-08	6.73e-11	-8.403434	14.715329	-1.3641208		
194025	1.24e-08	6.34e-11	8.12934	14.70387	1.9887925	RAP1A	RAP1A,
431010	1.30e-08	6.70e-11	8.150133	14.658117	1.1387478	CHMP7	charged
290042	1.38e-08	7.23e-11	-8.382161	14.644422	-1.0089923		
81101	1.33e-08	6.91e-11	8.105965	14.618904	1.4557961	ZNF394	zinc
328002	1.41e-08	7.45e-11	-8.373417	14.615264	-1.6351076		
476001	1.35e-08	7.04e-11	8.10099	14.600815	1.8665514	KRR1	KRR1,
224062	1.46e-08	7.74e-11	-8.464046	14.600127	-1.1991547	MON2	MON2
414025	1.36e-08	7.13e-11	8.097469	14.588015	2.0005084	LARP7	La
61100	1.38e-08	7.30e-11	8.091341	14.56573	1.6064363	RPL5///POLB	ribosomal
383036	1.73e-08	9.28e-11	8.308498	14.421392	2.4604872	ISCA1	iron-sulfur
75068	1.65e-08	8.78e-11	8.041268	14.383582	1.5117014	DDX54	DEAD-box
100025	1.67e-08	8.93e-11	8.036613	14.366642	1.323729	EIF3M	eukaryotic
154095	1.80e-08	9.79e-11	-8.341662	14.358066	-2.0380145	STX16	syntaxin
25089	1.79e-08	9.65e-11	8.015928	14.291354	2.1523229	GABARAP	GABA
33095	1.89e-08	1.03e-10	8.068777	14.254894	1.5569804	FAM162B	family
140006	1.98e-08	1.08e-10	8.174358	14.245735	1.9915882		
262094	2.17e-08	1.21e-10	-8.627398	14.223646	-1.1050232		
48057	2.05e-08	1.13e-10	8.121171	14.2049	2.14799	RBM15///RBM15	RNA
392081	2.59e-08	1.51e-10	-10.225008	14.190318	-1.6882209		
423069	2.33e-08	1.32e-10	-8.745344	14.170097	-1.101019		
332090	2.11e-08	1.17e-10	-8.033172	14.138879	-0.9712911		
37047	2.06e-08	1.14e-10	7.971633	14.130058	1.9429713	PSMB7	proteasome
121046	2.10e-08	1.16e-10	7.965656	14.108285	1.6064292	HSPA4	heat
198111	2.33e-08	1.32e-10	8.205916	14.08006	1.5192514	CEL	carboxyl
58080	2.25e-08	1.26e-10	7.943594	14.027906	1.7584726	C2	complement
374016	2.33e-08	1.32e-10	-8.036945	14.008481	-1.3061337		
389038	2.32e-08	1.30e-10	7.934564	13.995	1.7754457	MRGPRX3	MAS
118040	2.35e-08	1.35e-10	7.959831	13.972868	1.6845033	BECN1	beclin
120004	2.35e-08	1.35e-10	7.926026	13.963882	2.3696866	TUBB6	tubulin
37072	2.35e-08	1.35e-10	7.925058	13.960354	1.5065504	RFX5	regulatory
481101	2.41e-08	1.39e-10	7.917576	13.933083	1.2455341	ZNF7	zinc
390072	2.66e-08	1.56e-10	-8.251775	13.910513	-0.8729512		
160059	2.49e-08	1.44e-10	-7.940912	13.904637	-2.1761322	UGDH	UDP-glucose
239002	2.98e-08	1.82e-10	-8.797719	13.883274	-1.1185957		
279068	3.27e-08	2.04e-10	-11.102845	13.844122	-1.9161859	DNAJC7	DnaJ
268001	2.62e-08	1.53e-10	7.89098	13.836125	1.1960352		
104016	2.62e-08	1.54e-10	7.890416	13.834069	2.0569703	SRP14	signal
394031	2.69e-08	1.59e-10	7.948594	13.826943	1.534864	CCDC88A	coiled-coil
436079	2.76e-08	1.65e-10	-8.013478	13.801208	-1.293218		
385091	3.32e-08	2.11e-10	-9.143142	13.79722	-1.443557		
26088	2.69e-08	1.60e-10	7.880212	13.79686	1.1653154		
232080	2.76e-08	1.64e-10	-7.940025	13.78534	-1.7603874		
19058	3.16e-08	1.95e-10	-8.611527	13.782171	-1.8352528	SUGP2	SURP
222080	2.73e-08	1.62e-10	-7.876074	13.781768	-1.4380604		
146045	2.78e-08	1.67e-10	7.97163	13.778091	1.1682425		
219098	3.20e-08	1.99e-10	-8.604572	13.762106	-1.510714		
176014	2.95e-08	1.78e-10	-8.031606	13.736176	-0.9235665		
458061	3.02e-08	1.85e-10	-8.152612	13.733596	-0.995547		
95094	2.95e-08	1.79e-10	7.917203	13.715029	2.1381748	ALKBH7	alkB
415009	3.29e-08	2.07e-10	-8.451442	13.696807	-1.6817301	ARRDC1	arrestin
126004	2.97e-08	1.80e-10	7.847099	13.676082	2.0628582		
313030	3.56e-08	2.32e-10	8.710502	13.642864	2.6590206	SULF2	sulfatase
187067	3.04e-08	1.87e-10	-7.837592	13.641398	-1.124476		
35112	3.19e-08	1.98e-10	7.889131	13.614904	2.0624259	SRGAP2C	SLIT-ROBO
163091	3.13e-08	1.93e-10	7.829022	13.610127	1.3480694	FLII	FLII,
494111	3.40e-08	2.20e-10	8.055809	13.570111	1.8967534	NID2	nidogen
366092	3.29e-08	2.07e-10	7.84251	13.561214	1.9301565	TOX4///TOX4	TOX
185036	3.38e-08	2.17e-10	7.936501	13.543128	1.9137865	LPIN2	lipin
205089	3.31e-08	2.09e-10	-7.807526	13.531682	-1.3304151	LINC01119	long
308012	3.32e-08	2.10e-10	7.806093	13.526451	1.9978238	CAV2	caveolin
19063	3.32e-08	2.11e-10	7.804401	13.520274	2.1738053	GPX4	glutathione
99072	3.38e-08	2.17e-10	7.797804	13.496197	1.1171667	NARF	nuclear
17112	3.40e-08	2.19e-10	7.794798	13.485225	1.9536155	RGCC	regulator
114063	3.49e-08	2.27e-10	7.851839	13.470349	1.7694239	TMSB10	thymosin
115071	3.61e-08	2.36e-10	7.840303	13.452445	1.6652378	RRAGC	Ras
197096	4.82e-08	3.31e-10	-10.272686	13.435918	-1.8056783		
457006	3.56e-08	2.32e-10	7.779721	13.430185	1.8257193	TIE1	tyrosine
236025	3.64e-08	2.39e-10	7.770926	13.398073	2.1782765	COL3A1///SERPINF1	collagen
242005	3.66e-08	2.42e-10	7.768283	13.388422	2.6932483	THY1	Thy-1
353029	3.66e-08	2.42e-10	-7.76768	13.386223	-1.2053109	POU5F1P3///POU5F1	POU
235089	4.07e-08	2.71e-10	7.911998	13.364131	1.9886549	PXDN	peroxidasin
432042	4.82e-08	3.32e-10	-8.858867	13.337579	-1.5399648		
128089	3.97e-08	2.63e-10	7.745092	13.303736	1.9172659	ISCU	iron-sulfur
17069	4.13e-08	2.76e-10	7.732532	13.257863	1.5817195	ZHX1-C8orf76///C8orf76	ZHX1-C8orf76
157067	4.96e-08	3.44e-10	-8.493354	13.241398	-1.935896	TAF15	TATA-box
80110	4.76e-08	3.26e-10	-8.242336	13.237471	-1.636806	CCT3	chaperonin
120052	4.23e-08	2.83e-10	7.725515	13.232233	1.5087473	TIMM9	translocase
273048	5.71e-08	4.16e-10	-10.153223	13.219532	-2.0049079		
27072	4.66e-08	3.18e-10	7.991587	13.217825	1.5040457		
266044	4.37e-08	2.93e-10	-7.716018	13.197539	-1.0903727	DLX4	distal-less
229071	4.48e-08	3.02e-10	-7.80726	13.19718	-0.8143034		
402062	4.48e-08	3.03e-10	7.739201	13.188331	1.7556862	FARP1///FARP1	FERM,
393101	4.54e-08	3.09e-10	-7.801108	13.175409	-2.0910544	HACD3	3-hydroxyacyl-CoA
403027	4.54e-08	3.08e-10	7.73449	13.159051	1.8400649	NOTCH1	notch
458007	4.85e-08	3.35e-10	7.711623	13.088716	1.8334242	TMEM248	transmembrane
475048	5.05e-08	3.52e-10	-7.876758	13.076585	-1.9617754		
156036	5.18e-08	3.63e-10	7.829266	13.048258	1.8332741	HCCS	holocytochrome
33033	5.87e-08	4.31e-10	-8.492736	13.034957	-1.3470744	AGBL5	ATP/GTP
8080	4.98e-08	3.46e-10	7.671455	13.034712	2.6013792	PLAU///PLAU	plasminogen
